缺陷No.,单元ID,单元名称,类别No.,类别名称,图像文件名,重心Y,重心X,面积,体积,最大浓淡等级,平均浓淡等级,明暗,主轴长,副轴长,主轴角,针状度,周长,圆形度,等价椭圆主轴长,等价椭圆副轴长,等价椭圆主轴·副轴比,feret直径X,feret直径Y
108,2,"瑕疵",0,"未分类(类别01-19以外)","0000000108_00_000460_001009.bmp",+460.735,+1009.488,24080,,,,,,,,,,,,,,,
109,2,"瑕疵",0,"未分类(类别01-19以外)","0000000109_00_000248_000717.bmp",+248.500,+717.500,64,,,,,,,,,,,,,,,
110,2,"瑕疵",0,"未分类(类别01-19以外)","0000000110_00_000234_000719.bmp",+234.500,+719.500,16,,,,,,,,,,,,,,,
111,2,"瑕疵",0,"未分类(类别01-19以外)","0000000111_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
112,2,"瑕疵",0,"未分类(类别01-19以外)","0000000112_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
113,2,"瑕疵",0,"未分类(类别01-19以外)","0000000113_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
114,2,"瑕疵",0,"未分类(类别01-19以外)","0000000114_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
115,2,"瑕疵",0,"未分类(类别01-19以外)","0000000115_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
116,2,"瑕疵",0,"未分类(类别01-19以外)","0000000116_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
117,2,"瑕疵",0,"未分类(类别01-19以外)","0000000117_00_000186_000717.bmp",+186.500,+717.500,64,,,,,,,,,,,,,,,
118,2,"瑕疵",0,"未分类(类别01-19以外)","0000000118_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
119,2,"瑕疵",0,"未分类(类别01-19以外)","0000000119_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
120,2,"瑕疵",0,"未分类(类别01-19以外)","0000000120_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
121,2,"瑕疵",0,"未分类(类别01-19以外)","0000000121_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
122,2,"瑕疵",0,"未分类(类别01-19以外)","0000000122_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
123,2,"瑕疵",0,"未分类(类别01-19以外)","0000000123_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
124,2,"瑕疵",0,"未分类(类别01-19以外)","0000000124_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
125,2,"瑕疵",0,"未分类(类别01-19以外)","0000000125_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
126,2,"瑕疵",0,"未分类(类别01-19以外)","0000000126_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
127,2,"瑕疵",0,"未分类(类别01-19以外)","0000000127_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
128,2,"瑕疵",0,"未分类(类别01-19以外)","0000000128_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
129,2,"瑕疵",0,"未分类(类别01-19以外)","0000000129_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
130,2,"瑕疵",0,"未分类(类别01-19以外)","0000000130_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
131,2,"瑕疵",0,"未分类(类别01-19以外)","0000000131_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
132,2,"瑕疵",0,"未分类(类别01-19以外)","0000000132_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
133,2,"瑕疵",0,"未分类(类别01-19以外)","0000000133_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
134,2,"瑕疵",0,"未分类(类别01-19以外)","0000000134_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
135,2,"瑕疵",0,"未分类(类别01-19以外)","0000000135_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
136,2,"瑕疵",0,"未分类(类别01-19以外)","0000000136_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
137,2,"瑕疵",0,"未分类(类别01-19以外)","0000000137_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
138,2,"瑕疵",0,"未分类(类别01-19以外)","0000000138_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
139,2,"瑕疵",0,"未分类(类别01-19以外)","0000000139_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
140,2,"瑕疵",0,"未分类(类别01-19以外)","0000000140_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
141,2,"瑕疵",0,"未分类(类别01-19以外)","0000000141_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
142,2,"瑕疵",0,"未分类(类别01-19以外)","0000000142_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
143,2,"瑕疵",0,"未分类(类别01-19以外)","0000000143_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
144,2,"瑕疵",0,"未分类(类别01-19以外)","0000000144_00_000744_000771.bmp",+744.500,+771.500,32,,,,,,,,,,,,,,,
145,2,"瑕疵",0,"未分类(类别01-19以外)","0000000145_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
146,2,"瑕疵",0,"未分类(类别01-19以外)","0000000146_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
147,2,"瑕疵",0,"未分类(类别01-19以外)","0000000147_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
148,2,"瑕疵",0,"未分类(类别01-19以外)","0000000148_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
149,2,"瑕疵",0,"未分类(类别01-19以外)","0000000149_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
150,2,"瑕疵",0,"未分类(类别01-19以外)","0000000150_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
151,2,"瑕疵",0,"未分类(类别01-19以外)","0000000151_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
152,2,"瑕疵",0,"未分类(类别01-19以外)","0000000152_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
153,2,"瑕疵",0,"未分类(类别01-19以外)","0000000153_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
